id, type, gender, skin tone, count, accessories
6000, Human, Male, Light, 2, Front Beard / Crazy Hair
6001, Human, Male, Dark, 2, Bandana / Muttonchops
6002, Human, Male, Light, 4, Chinstrap / Earring / Knitted Cap / 3D Glasses
6003, Human, Female, Dark, 3, Eye Patch / Purple Lipstick / Mohawk Dark
6004, Human, Female, Albino, 2, Messy Hair / Clown Eyes Green
6005, Human, Female, Medium, 4, Black Lipstick / Straight Hair / Eye Patch / Earring
6006, Human, Male, Dark, 2, Wild Hair / Small Shades
6007, Human, Male, Medium, 3, Mohawk Thin / Horned Rim Glasses / Normal Beard
6008, Human, Male, Dark, 3, Mohawk Thin / Muttonchops / Eye Patch
6009, Human, Male, Light, 4, Cigarette / Eye Mask / Earring / Headband
6010, Human, Male, Light, 3, Purple Hair / Vape / Earring
6011, Human, Male, Light, 3, Big Shades / Wild Hair / Medical Mask
6012, Human, Male, Light, 4, Wild Hair / Earring / VR / Mole
6013, Human, Male, Medium, 3, Luxurious Beard / Horned Rim Glasses / Headband
6014, Human, Male, Light, 2, Buck Teeth / Police Cap
6015, Human, Female, Medium, 3, Black Lipstick / Welding Goggles / Straight Hair Blonde
6016, Human, Male, Dark, 4, Cigarette / Peak Spike / Gold Chain / Front Beard Dark
6017, Human, Female, Albino, 3, Mohawk Thin / Purple Lipstick / Clown Eyes Blue
6018, Human, Male, Medium, 4, Gold Chain / Chinstrap / Knitted Cap / VR
6019, Human, Male, Light, 2, Shaved Head / Regular Shades
6020, Human, Male, Medium, 4, Stringy Hair / Horned Rim Glasses / Pipe / Mole
6021, Human, Female, Light, 2, Eye Mask / Bandana
6022, Human, Male, Dark, 3, Horned Rim Glasses / Normal Beard / Crazy Hair
6023, Human, Female, Medium, 3, Messy Hair / Regular Shades / Earring
6024, Human, Male, Albino, 3, Fedora / Normal Beard / Regular Shades
6025, Human, Female, Light, 3, Red Mohawk / Black Lipstick / Cigarette
6026, Human, Male, Light, 2, Luxurious Beard / Wild Hair
6027, Human, Male, Light, 3, Classic Shades / Shaved Head / Mole
6028, Human, Female, Dark, 3, Green Eye Shadow / Stringy Hair / Earring
6029, Human, Female, Medium, 3, Tassle Hat / Purple Eye Shadow / Earring
6030, Human, Female, Medium, 3, Spots / Wild Blonde / Classic Shades
6031, Human, Male, Medium, 3, Front Beard Dark / Horned Rim Glasses / Pipe
6032, Human, Male, Medium, 3, Stringy Hair / Regular Shades / Big Beard
6033, Human, Male, Medium, 3, Muttonchops / Vape / Do-rag
6034, Human, Male, Light, 4, Clown Nose / Cap / Normal Beard / Pipe
6035, Human, Male, Dark, 3, Cigarette / Front Beard / Headband
6036, Human, Male, Medium, 3, Hoodie / Muttonchops / Horned Rim Glasses
6037, Human, Female, Albino, 2, Crazy Hair / Hot Lipstick
6038, Human, Female, Dark, 3, Purple Eye Shadow / Crazy Hair / Hot Lipstick
6039, Human, Male, Medium, 3, Mohawk Thin / Classic Shades / Earring
6040, Human, Male, Light, 3, Police Cap / Gold Chain / Regular Shades
