id, type, gender, skin tone, count, accessories
2000, Human, Female, Dark, 3, Big Shades / Tiara / Earring
2001, Human, Female, Medium, 3, Stringy Hair / Purple Lipstick / Earring
2002, Human, Male, Albino, 2, Messy Hair / Shadow Beard
2003, Human, Male, Light, 2, Horned Rim Glasses / Headband
2004, Human, Male, Medium, 3, Frumpy Hair / Handlebars / Eye Patch
2005, Human, Male, Light, 2, Horned Rim Glasses / Knitted Cap
2006, Human, Male, Light, 4, Cigarette / Front Beard Dark / Earring / Crazy Hair
2007, Human, Female, Light, 2, Hot Lipstick / Blonde Bob
2008, Human, Female, Dark, 2, Red Mohawk / Earring
2009, Human, Male, Dark, 3, Police Cap / Earring / Normal Beard
2010, Human, Male, Medium, 3, Front Beard Dark / Purple Hair / Classic Shades
2011, Human, Male, Light, 3, Cap Forward / Muttonchops / Nerd Glasses
2012, Human, Female, Dark, 3, Hot Lipstick / Frumpy Hair / Cigarette
2013, Human, Female, Albino, 1, Mohawk Dark
2014, Human, Female, Dark, 3, Tassle Hat / Green Eye Shadow / Hot Lipstick
2015, Human, Female, Light, 3, Pink With Hat / Earring / Nerd Glasses
2016, Human, Female, Medium, 2, Pigtails / Earring
2017, Human, Female, Dark, 2, Mole / Messy Hair
2018, Human, Female, Light, 3, Vape / Blonde Bob / Clown Eyes Blue
2019, Human, Female, Dark, 2, Clown Eyes Green / Mohawk Dark
2020, Human, Male, Dark, 2, Classic Shades / Cowboy Hat
2021, Human, Male, Medium, 2, Bandana / Nerd Glasses
2022, Human, Female, Dark, 2, Green Eye Shadow / Straight Hair
2023, Human, Female, Medium, 3, Mole / Messy Hair / Green Eye Shadow
2024, Human, Male, Dark, 3, Nerd Glasses / Goat / Knitted Cap
2025, Human, Male, Light, 2, Small Shades / Mohawk Dark
2026, Human, Male, Dark, 3, Cigarette / Peak Spike / Horned Rim Glasses
2027, Human, Male, Light, 2, Knitted Cap / 3D Glasses
2028, Human, Male, Medium, 3, Front Beard Dark / Earring / Crazy Hair
2029, Human, Male, Albino, 2, Horned Rim Glasses / Cowboy Hat
2030, Human, Female, Medium, 3, Crazy Hair / Earring / 3D Glasses
2031, Human, Male, Medium, 3, Cigarette / Wild Hair / Small Shades
2032, Human, Male, Light, 4, Frumpy Hair / Frown / Shadow Beard / Earring
2033, Human, Female, Light, 5, Mole / Gold Chain / Purple Lipstick / Clown Eyes Blue / Straight Hair Dark
2034, Human, Female, Light, 2, Wild White Hair / Purple Eye Shadow
2035, Human, Male, Dark, 3, Cap / Shadow Beard / VR
2036, Human, Male, Light, 3, Cigarette / Handlebars / Shaved Head
2037, Human, Female, Medium, 3, Mole / Hot Lipstick / Frumpy Hair
2038, Human, Male, Light, 3, Cap Forward / Earring / Mole
2039, Human, Female, Albino, 3, Green Eye Shadow / Stringy Hair / Purple Lipstick
2040, Human, Male, Dark, 2, Headband / Mole
2041, Human, Female, Dark, 1, Cigarette
2042, Human, Male, Medium, 2, Crazy Hair / 3D Glasses
2043, Human, Male, Dark, 2, Stringy Hair / Front Beard Dark
2044, Human, Male, Light, 2, Handlebars / Police Cap
2045, Human, Male, Medium, 3, Front Beard / Wild Hair / Regular Shades
2046, Human, Female, Light, 3, Earring / Clown Eyes Blue / Straight Hair Dark
2047, Human, Female, Dark, 2, Mole / Half Shaved
2048, Human, Male, Medium, 3, Hoodie / Front Beard Dark / VR
2049, Human, Male, Light, 5, Chinstrap / Earring / Pipe / VR / Do-rag
2050, Human, Male, Light, 4, Front Beard Dark / Earring / Do-rag / Regular Shades
2051, Human, Male, Light, 2, Front Beard / Hoodie
2052, Human, Female, Dark, 1, Cap
2053, Human, Female, Dark, 2, Big Shades / Mohawk
2054, Human, Female, Dark, 4, Clown Nose / Pipe / Clown Eyes Green / Straight Hair Blonde
2055, Human, Male, Dark, 2, Eye Mask / Peak Spike
2056, Human, Male, Light, 3, Cigarette / Shaved Head / Regular Shades
2057, Human, Male, Light, 2, Normal Beard Black / Wild Hair
2058, Human, Male, Medium, 3, Purple Hair / Earring / Goat
2059, Human, Male, Medium, 3, Earring / Eye Patch / Mohawk Dark
2060, Human, Male, Light, 2, Muttonchops / Purple Hair
2061, Human, Male, Medium, 2, Cap Forward / Normal Beard
2062, Human, Female, Light, 3, Mohawk Thin / Purple Lipstick / Nerd Glasses
2063, Human, Male, Albino, 3, Peak Spike / Front Beard Dark / Earring
2064, Human, Male, Albino, 3, Front Beard Dark / Shaved Head / Small Shades
2065, Human, Female, Medium, 3, Horned Rim Glasses / Hot Lipstick / Dark Hair
2066, Zombie, Male, , 1, Knitted Cap
2067, Human, Female, Dark, 2, Black Lipstick / Crazy Hair
2068, Human, Female, Dark, 3, Tassle Hat / Regular Shades / Purple Lipstick
2069, Human, Female, Medium, 3, Green Eye Shadow / Hot Lipstick / Frumpy Hair
2070, Human, Male, Light, 2, Cigarette / Headband
2071, Human, Male, Medium, 2, Mohawk Thin / Horned Rim Glasses
2072, Human, Female, Medium, 4, Bandana / Green Eye Shadow / Purple Lipstick / Cigarette
2073, Human, Male, Light, 3, Mohawk Thin / Earring / Nerd Glasses
2074, Human, Female, Medium, 4, Hot Lipstick / Wild Hair / Earring / Clown Eyes Blue
2075, Human, Male, Medium, 3, Clown Nose / Headband / Small Shades
2076, Human, Male, Dark, 2, Bandana / Regular Shades
2077, Human, Female, Albino, 3, Hot Lipstick / Wild Hair / Cigarette
2078, Human, Female, Medium, 2, Frumpy Hair / Clown Eyes Blue
2079, Human, Male, Light, 3, Muttonchops / Earring / Knitted Cap
2080, Human, Male, Dark, 2, Purple Hair / Vape
2081, Human, Male, Medium, 3, Police Cap / Shadow Beard / Eye Patch
2082, Human, Male, Medium, 2, Knitted Cap / 3D Glasses
2083, Human, Male, Medium, 2, Mustache / Headband
2084, Human, Male, Medium, 2, Mohawk Thin / VR
2085, Human, Female, Dark, 3, Red Mohawk / Blue Eye Shadow / Black Lipstick
2086, Human, Male, Light, 2, Goat / Knitted Cap
2087, Human, Male, Dark, 3, Earring / Headband / VR
2088, Human, Male, Light, 2, Bandana / Muttonchops
