id, type, gender, skin tone, count, accessories
4000, Human, Male, Medium, 2, Bandana / Small Shades
4001, Human, Male, Albino, 4, Stringy Hair / Cigarette / Front Beard Dark / Classic Shades
4002, Human, Male, Light, 4, Bandana / Frown / Earring / Small Shades
4003, Human, Male, Light, 3, Shadow Beard / Medical Mask / Do-rag
4004, Human, Female, Light, 2, Tiara / Eye Patch
4005, Human, Male, Medium, 2, Peak Spike / Smile
4006, Human, Female, Medium, 3, Mohawk Thin / Purple Lipstick / Earring
4007, Human, Male, Light, 4, Frumpy Hair / Chinstrap / Earring / Regular Shades
4008, Human, Male, Light, 2, Beanie / Nerd Glasses
4009, Human, Female, Dark, 3, Black Lipstick / Headband / Clown Eyes Blue
4010, Human, Female, Medium, 2, Mohawk / Welding Goggles
4011, Human, Male, Dark, 3, Stringy Hair / Classic Shades / Mustache
4012, Human, Male, Albino, 1, Top Hat
4013, Human, Male, Dark, 3, Police Cap / Big Shades / Muttonchops
4014, Human, Male, Dark, 3, Bandana / Earring / Normal Beard
4015, Human, Female, Dark, 3, Wild White Hair / Welding Goggles / Hot Lipstick
4016, Human, Female, Light, 3, Straight Hair / Regular Shades / Earring
4017, Human, Male, Light, 3, Earring / Normal Beard / Mohawk Dark
4018, Human, Female, Medium, 4, Tassle Hat / Pipe / Hot Lipstick / Clown Eyes Blue
4019, Human, Female, Light, 5, Vape / Blue Eye Shadow / Straight Hair Blonde / Hot Lipstick / Earring
4020, Human, Male, Dark, 3, Front Beard / Police Cap / Nerd Glasses
4021, Human, Female, Albino, 1, Pink With Hat
4022, Human, Male, Dark, 3, Eye Mask / Handlebars / Fedora
4023, Human, Male, Dark, 2, Bandana / Chinstrap
4024, Human, Male, Light, 3, Cap / Frown / Regular Shades
4025, Human, Male, Dark, 3, Normal Beard / Knitted Cap / Small Shades
4026, Human, Male, Medium, 2, Big Shades / Spots
4027, Human, Male, Medium, 3, Messy Hair / Pipe / Mole
4028, Human, Female, Light, 3, Green Eye Shadow / Wild Hair / Purple Lipstick
4029, Human, Male, Dark, 2, Top Hat / Big Beard
4030, Human, Female, Medium, 4, Hot Lipstick / Wild Hair / Earring / Cigarette
4031, Human, Male, Medium, 3, Frumpy Hair / Luxurious Beard / Regular Shades
4032, Human, Female, Albino, 3, Green Eye Shadow / Blonde Short / Purple Lipstick
4033, Human, Male, Light, 4, Shadow Beard / Earring / VR / Shaved Head
4034, Human, Male, Light, 4, Luxurious Beard / Classic Shades / Earring / Knitted Cap
