id, type, gender, skin tone, count, accessories
8000, Human, Male, Albino, 5, Cigarette / Cap / Mustache / Rosy Cheeks / VR
8001, Human, Female, Medium, 3, Gold Chain / Mohawk / Regular Shades
8002, Human, Male, Dark, 3, Shadow Beard / Wild Hair / Mole
8003, Human, Male, Medium, 3, Hoodie / Goat / Regular Shades
8004, Human, Male, Dark, 2, Peak Spike / Chinstrap
8005, Human, Male, Dark, 3, Messy Hair / Mustache / Pipe
8006, Human, Male, Medium, 3, Frumpy Hair / Clown Nose / 3D Glasses
8007, Human, Female, Dark, 4, Knitted Cap / Purple Eye Shadow / Hot Lipstick / Earring
8008, Human, Male, Dark, 3, Handlebars / Police Cap / Nerd Glasses
8009, Human, Female, Light, 2, Clown Eyes Green / Wild Blonde
8010, Human, Female, Light, 2, Orange Side / Hot Lipstick
8011, Human, Male, Medium, 3, Chinstrap / Classic Shades / Do-rag
8012, Human, Male, Medium, 3, Clown Nose / Fedora / Goat
8013, Human, Male, Medium, 3, Cigarette / Normal Beard Black / Wild Hair
8014, Human, Male, Medium, 3, Front Beard / Police Cap / Earring
8015, Human, Male, Dark, 3, Front Beard / Cap Forward / Big Shades
8016, Human, Male, Dark, 3, Luxurious Beard / Crazy Hair / Medical Mask
8017, Human, Male, Light, 3, Eye Mask / Earring / Top Hat
8018, Human, Female, Medium, 2, Crazy Hair / Hot Lipstick
8019, Human, Male, Light, 4, Frown / Earring / Knitted Cap / Regular Shades
8020, Human, Female, Medium, 3, Big Shades / Blonde Short / Hot Lipstick
8021, Human, Male, Medium, 2, Mohawk Thin / Gold Chain
8022, Human, Male, Light, 3, Cap / Shadow Beard / Clown Eyes Green
8023, Human, Female, Medium, 4, Clown Nose / Blue Eye Shadow / Black Lipstick / Pigtails
8024, Human, Female, Medium, 2, Tassle Hat / Pipe
8025, Human, Male, Light, 3, Eye Mask / Luxurious Beard / Crazy Hair
8026, Human, Male, Medium, 3, Vape / Knitted Cap / Smile
8027, Human, Female, Dark, 4, Messy Hair / Big Shades / Purple Lipstick / Earring
8028, Human, Male, Medium, 3, Mohawk Thin / Big Shades / Pipe
8029, Human, Female, Light, 3, Mole / Messy Hair / Earring
8030, Human, Female, Dark, 3, Vape / Wild White Hair / Earring
8031, Human, Male, Medium, 3, Cigarette / Muttonchops / Do-rag
8032, Human, Female, Medium, 4, Mole / Clown Eyes Green / Wild Hair / Earring
8033, Human, Male, Medium, 2, Cap Forward / 3D Glasses
8034, Human, Female, Medium, 3, Spots / Dark Hair / Earring
8035, Human, Female, Light, 5, Mole / Hot Lipstick / Dark Hair / Earring / Cigarette
8036, Human, Male, Medium, 4, Peak Spike / Rosy Cheeks / Smile / Small Shades
8037, Human, Female, Medium, 4, Mole / Blue Eye Shadow / Black Lipstick / Frumpy Hair
8038, Human, Female, Albino, 3, Red Mohawk / Blue Eye Shadow / Purple Lipstick
8039, Human, Female, Dark, 3, Messy Hair / Eye Patch / Hot Lipstick
8040, Human, Male, Light, 4, Bandana / Silver Chain / Earring / Eye Patch
8041, Human, Male, Medium, 4, Eye Mask / Spots / Mustache / Clown Hair Green
8042, Human, Male, Dark, 2, Police Cap / Pipe
8043, Human, Female, Light, 2, Big Shades / Stringy Hair
8044, Human, Female, Albino, 3, Orange Side / Big Shades / Hot Lipstick
8045, Human, Male, Medium, 3, Earring / Clown Hair Green / Big Beard
8046, Human, Male, Light, 2, Fedora / Eye Patch
8047, Human, Male, Dark, 4, Luxurious Beard / Fedora / Earring / Horned Rim Glasses
8048, Human, Male, Medium, 2, Chinstrap / Shaved Head
8049, Human, Male, Dark, 2, Normal Beard / Headband
8050, Human, Male, Light, 4, Shadow Beard / Earring / Nerd Glasses / Headband
8051, Human, Male, Light, 3, Messy Hair / Handlebars / Clown Eyes Green
