id, type, gender, skin tone, count, accessories
9000, Human, Female, Dark, 3, Blonde Short / Hot Lipstick / Cigarette
9001, Human, Female, Dark, 3, Clown Nose / Bandana / Nerd Glasses
9002, Human, Male, Medium, 3, Normal Beard Black / Classic Shades / Mohawk Dark
9003, Human, Female, Albino, 3, Black Lipstick / Mohawk Thin / Cigarette
9004, Human, Male, Albino, 2, Stringy Hair / Nerd Glasses
9005, Human, Male, Medium, 2, Classic Shades / Clown Hair Green
9006, Human, Female, Light, 2, Big Shades / Wild Blonde
9007, Human, Male, Medium, 2, Mohawk Thin / Clown Eyes Green
9008, Human, Male, Medium, 4, Frown / Mohawk Thin / Goat / Regular Shades
9009, Human, Male, Albino, 3, Cigarette / Nerd Glasses / Cowboy Hat
9010, Human, Male, Medium, 3, Police Cap / Earring / VR
9011, Human, Male, Dark, 4, Muttonchops / Earring / Top Hat / Small Shades
9012, Human, Male, Dark, 3, Frumpy Hair / Earring / Medical Mask
9013, Human, Female, Dark, 2, Dark Hair / Cigarette
9014, Human, Female, Dark, 4, Black Lipstick / Green Eye Shadow / Straight Hair / Cigarette
9015, Human, Male, Light, 3, Cap / Earring / Pipe
9016, Human, Male, Albino, 4, Stringy Hair / Chinstrap / Horned Rim Glasses / Smile
9017, Human, Male, Dark, 3, Shadow Beard / Do-rag / Small Shades
9018, Human, Male, Medium, 4, Peak Spike / Handlebars / Classic Shades / Earring
9019, Human, Male, Light, 4, Bandana / Medical Mask / VR / Big Beard
9020, Human, Female, Medium, 3, Eye Mask / Dark Hair / Purple Lipstick
9021, Human, Female, Dark, 4, Red Mohawk / Green Eye Shadow / Hot Lipstick / Cigarette
9022, Human, Male, Light, 3, Frumpy Hair / Frown / Muttonchops
9023, Human, Female, Light, 2, Purple Eye Shadow / Headband
9024, Human, Male, Medium, 4, Mohawk Thin / Classic Shades / Mustache / Earring
9025, Human, Male, Light, 3, Frumpy Hair / Muttonchops / Earring
9026, Human, Male, Medium, 4, Front Beard / Bandana / Classic Shades / Earring
9027, Human, Female, Medium, 3, Black Lipstick / Frumpy Hair / Nerd Glasses
9028, Human, Female, Light, 1, Pipe
9029, Human, Female, Albino, 2, Mohawk / Purple Lipstick
9030, Human, Female, Dark, 3, Black Lipstick / Frumpy Hair / Regular Shades
